ID_cliente,Sector,Cantidad_Entradas
CLT-00166,B,1
CLT-00167,D,1
CLT-00168,B,3
CLT-00169,C,1
CLT-00170,A,3
CLT-00171,E,2
CLT-00172,E,4
CLT-00173,C,3
CLT-00174,B,3
CLT-00175,A,1
CLT-00176,E,2
CLT-00177,B,5
CLT-00178,E,3
CLT-00179,A,5
CLT-00180,E,5
CLT-00181,C,4
CLT-00182,D,1
CLT-00183,E,1
CLT-00184,B,5
CLT-00185,E,4
CLT-00186,C,1
CLT-00187,C,2
CLT-00188,C,1
CLT-00189,C,3
CLT-00190,A,2
CLT-00191,A,3
CLT-00192,B,1
CLT-00193,B,4
CLT-00194,B,2
CLT-00195,A,4
CLT-00196,E,4
CLT-00197,E,4
CLT-00198,A,4
CLT-00199,C,2
CLT-00200,C,4
CLT-00201,C,4
CLT-00202,B,4
CLT-00203,C,5
CLT-00204,A,1
CLT-00205,B,1
CLT-00206,B,2
CLT-00207,C,5
CLT-00208,E,2
CLT-00209,D,4
CLT-00210,D,3
CLT-00211,C,4
CLT-00212,B,5
CLT-00213,D,3
CLT-00214,C,1
CLT-00215,C,5
CLT-00216,A,2
CLT-00217,E,2
CLT-00218,D,2
CLT-00219,A,2
CLT-00220,B,2
CLT-00221,B,4
CLT-00222,A,5
CLT-00223,A,1
CLT-00224,D,5
CLT-00225,C,4
CLT-00226,B,3
CLT-00227,D,3
CLT-00228,E,1
CLT-00229,E,3
CLT-00230,E,5
CLT-00231,A,3
CLT-00232,C,4
CLT-00233,C,2
CLT-00234,A,5
CLT-00235,D,5
CLT-00236,D,4
CLT-00237,B,5
CLT-00238,A,5
CLT-00239,C,3
CLT-00240,B,5
CLT-00241,D,2
CLT-00242,B,5
CLT-00243,B,5
CLT-00244,B,4
CLT-00245,C,1
CLT-00246,C,4
CLT-00247,A,5
CLT-00248,C,5
CLT-00249,E,5
CLT-00250,A,5
CLT-00251,C,2
CLT-00252,B,5
CLT-00253,B,2
CLT-00254,C,5
CLT-00255,D,1
CLT-00256,D,2
CLT-00257,D,5
CLT-00258,E,3
CLT-00259,C,3
CLT-00260,D,1
CLT-00261,C,1
CLT-00262,E,3
CLT-00263,D,5
CLT-00264,D,1
CLT-00265,A,5
CLT-00266,D,3
CLT-00267,B,2
CLT-00268,A,5
CLT-00269,D,5
CLT-00270,D,3
CLT-00271,E,4
CLT-00272,D,5
CLT-00273,D,2
CLT-00274,A,3
CLT-00275,C,1
CLT-00276,B,4
CLT-00277,D,3
CLT-00278,C,5
CLT-00279,D,3
CLT-00280,A,4
CLT-00281,E,2
CLT-00282,D,5
CLT-00283,E,2
CLT-00284,C,5
CLT-00285,D,3
CLT-00286,D,2
CLT-00287,E,4
CLT-00288,D,1
CLT-00289,E,5
CLT-00290,B,3
CLT-00291,B,2
CLT-00292,D,5
CLT-00293,A,5
CLT-00294,B,2
CLT-00295,C,2
CLT-00296,E,3
CLT-00297,A,5
CLT-00298,C,4
CLT-00299,D,2
CLT-00300,B,2
CLT-00301,E,2
CLT-00302,C,1
CLT-00303,A,4
CLT-00304,C,4
CLT-00305,A,1
CLT-00306,B,4
CLT-00307,E,3
CLT-00308,B,2
CLT-00309,B,2
CLT-00310,A,2
CLT-00311,D,2
CLT-00312,A,2
CLT-00313,C,1
CLT-00314,A,5
CLT-00315,A,2
CLT-00316,B,3
CLT-00317,A,1
CLT-00318,C,3
CLT-00319,C,4
CLT-00320,D,3
CLT-00321,D,4
CLT-00322,D,5
CLT-00323,D,1
CLT-00324,C,2
CLT-00325,A,3
CLT-00326,C,5
CLT-00327,E,4
CLT-00328,A,1
CLT-00329,C,3
CLT-00330,E,5
CLT-00331,C,4
CLT-00332,A,5
CLT-00333,A,1
CLT-00334,A,1
CLT-00335,D,4
CLT-00336,C,5
CLT-00337,D,3
CLT-00338,C,4
CLT-00339,E,4
CLT-00340,E,1
CLT-00341,C,4
CLT-00342,A,4
CLT-00343,B,5
CLT-00344,A,2
CLT-00345,D,4
CLT-00346,A,4
CLT-00347,E,3
CLT-00348,E,2
CLT-00349,A,1
CLT-00350,D,3
CLT-00351,A,1
CLT-00352,D,5
CLT-00353,C,3
CLT-00354,D,3
CLT-00355,C,4
CLT-00356,B,4
CLT-00357,B,3
CLT-00358,D,1
CLT-00359,D,3
CLT-00360,A,2
CLT-00361,D,5
CLT-00362,B,5
CLT-00363,E,1
CLT-00364,E,2
CLT-00365,C,2
CLT-00366,B,5
CLT-00367,C,2
CLT-00368,E,1
CLT-00369,B,3
CLT-00370,A,2
CLT-00371,C,1
CLT-00372,A,5
CLT-00373,A,3
CLT-00374,B,1
CLT-00375,E,4
CLT-00376,C,3
CLT-00377,C,5
CLT-00378,E,4
CLT-00379,A,3
CLT-00380,B,3
CLT-00381,B,4
CLT-00382,B,3
CLT-00383,B,3
CLT-00384,E,1
CLT-00385,A,5
CLT-00386,A,1
CLT-00387,E,2
CLT-00388,C,1
CLT-00389,C,5
CLT-00390,E,1
CLT-00391,A,1
CLT-00392,D,1
CLT-00393,C,4
CLT-00394,C,3
CLT-00395,B,5
CLT-00396,A,1
CLT-00397,C,4
CLT-00398,E,5
CLT-00399,B,4
CLT-00400,B,3
CLT-00401,D,4
CLT-00402,A,3
CLT-00403,A,5
CLT-00404,A,5
CLT-00405,A,5
CLT-00406,D,4
CLT-00407,D,2
CLT-00408,C,1
CLT-00409,D,4
CLT-00410,D,5
CLT-00411,D,3
CLT-00412,D,1
CLT-00413,E,5
CLT-00414,C,2
CLT-00415,D,1
CLT-00416,C,1
CLT-00417,B,2
CLT-00418,A,1
CLT-00419,B,3
CLT-00420,E,5
CLT-00421,C,3
CLT-00422,E,4
CLT-00423,A,3
CLT-00424,C,5
CLT-00425,C,4
CLT-00426,E,3
CLT-00427,C,3
CLT-00428,D,4
CLT-00429,A,1
CLT-00430,E,5
CLT-00431,D,5
CLT-00432,D,2
CLT-00433,C,4
CLT-00434,D,5
CLT-00435,D,5
CLT-00436,C,1
CLT-00437,B,1
CLT-00438,A,3
CLT-00439,B,1
CLT-00440,B,1
CLT-00441,A,3
CLT-00442,E,1
CLT-00443,E,2
CLT-00444,C,2
CLT-00445,A,1
CLT-00446,C,3
CLT-00447,D,3
CLT-00448,C,1
CLT-00449,D,2
CLT-00450,D,4
CLT-00451,E,4
CLT-00452,A,3
CLT-00453,B,2
CLT-00454,B,2
CLT-00455,A,3
CLT-00456,C,5
CLT-00457,A,4
CLT-00458,A,5
CLT-00459,D,5
CLT-00460,D,2
CLT-00461,E,5
CLT-00462,C,1
CLT-00463,B,5
CLT-00464,B,1
CLT-00465,D,4
CLT-00466,B,1
CLT-00467,B,3
CLT-00468,B,5
CLT-00469,C,1
CLT-00470,C,3
CLT-00471,E,4
CLT-00472,E,2
CLT-00473,E,3
CLT-00474,B,1
CLT-00475,A,3
CLT-00476,D,3
CLT-00477,A,3
CLT-00478,C,4
CLT-00479,C,5
CLT-00480,A,5
CLT-00481,E,2
CLT-00482,D,3
CLT-00483,A,1
CLT-00484,D,2
CLT-00485,D,2
CLT-00486,C,1
CLT-00487,B,2
CLT-00488,C,4
CLT-00489,E,3
CLT-00490,E,4
CLT-00491,A,1
CLT-00492,B,5
CLT-00493,B,3
CLT-00494,A,1
CLT-00495,A,1
CLT-00496,A,1
CLT-00497,E,1
CLT-00498,B,2
CLT-00499,C,4
CLT-00500,B,3
CLT-00501,C,5
CLT-00502,E,5
CLT-00503,E,3
CLT-00504,A,2
CLT-00505,B,1
CLT-00506,A,3
CLT-00507,E,4
CLT-00508,B,5
CLT-00509,E,4
CLT-00510,A,3
CLT-00511,D,2
CLT-00512,A,2
CLT-00513,B,3
CLT-00514,E,2
CLT-00515,B,1
CLT-00516,E,1
CLT-00517,A,4
CLT-00518,D,3
CLT-00519,B,4
CLT-00520,A,4
CLT-00521,B,4
CLT-00522,D,5
CLT-00523,A,5
CLT-00524,D,1
CLT-00525,A,2
CLT-00526,B,5
CLT-00527,A,3
CLT-00528,E,3
CLT-00529,D,3
CLT-00530,E,5
CLT-00531,A,4
CLT-00532,D,4
CLT-00533,B,3
CLT-00534,E,4
CLT-00535,D,2
CLT-00536,E,4
CLT-00537,E,3
CLT-00538,E,3
CLT-00539,D,4
CLT-00540,E,5
CLT-00541,C,5
CLT-00542,A,4
CLT-00543,E,3
CLT-00544,D,4
CLT-00545,B,4
CLT-00546,E,1
CLT-00547,E,1
CLT-00548,D,4
CLT-00549,D,4
CLT-00550,D,4
CLT-00551,D,3
CLT-00552,A,3
CLT-00553,C,3
CLT-00554,E,5
CLT-00555,C,4
CLT-00556,C,3
CLT-00557,D,4
CLT-00558,C,2
CLT-00559,A,2
CLT-00560,D,3
CLT-00561,D,1
CLT-00562,E,1
CLT-00563,E,4
CLT-00564,B,2
CLT-00565,E,1
CLT-00566,D,2
CLT-00567,B,5
CLT-00568,D,4
CLT-00569,A,5
CLT-00570,D,5
CLT-00571,D,2
CLT-00572,D,1
CLT-00573,D,1
CLT-00574,C,2
CLT-00575,A,2
CLT-00576,B,5
CLT-00577,A,2
CLT-00578,E,4
CLT-00579,B,1
CLT-00580,D,3
CLT-00581,A,2
CLT-00582,C,2
CLT-00583,B,3
CLT-00584,D,1
CLT-00585,A,5
CLT-00586,D,4
CLT-00587,B,3
CLT-00588,E,4
CLT-00589,C,3
CLT-00590,E,3
CLT-00591,A,5
CLT-00592,D,2
CLT-00593,D,1
CLT-00594,C,1
CLT-00595,B,1
CLT-00596,C,3
CLT-00597,C,4
CLT-00598,E,1
CLT-00599,C,1
CLT-00600,B,4
CLT-00601,E,1
CLT-00602,B,5
CLT-00603,C,1
CLT-00604,C,4
CLT-00605,B,2
CLT-00606,C,4
CLT-00607,A,1
CLT-00608,E,1
CLT-00609,E,4
CLT-00610,A,5
CLT-00611,C,3
CLT-00612,A,1
CLT-00613,D,4
CLT-00614,C,2
CLT-00615,C,5
CLT-00616,A,4
CLT-00617,D,1
CLT-00618,A,3
CLT-00619,A,3
CLT-00620,E,1
CLT-00621,E,1
CLT-00622,A,5
CLT-00623,C,4
CLT-00624,C,4
CLT-00625,C,5
CLT-00626,A,3
CLT-00627,E,3
CLT-00628,D,4
CLT-00629,E,4
CLT-00630,A,4
CLT-00631,C,3
CLT-00632,C,3
CLT-00633,D,5
CLT-00634,B,5
CLT-00635,C,5
CLT-00636,A,3
CLT-00637,D,1
CLT-00638,E,2
CLT-00639,B,1
CLT-00640,A,5
CLT-00641,B,4
CLT-00642,E,4
CLT-00643,D,3
CLT-00644,B,2
CLT-00645,E,5
CLT-00646,C,3
CLT-00647,A,5
CLT-00648,E,2
CLT-00649,B,1
CLT-00650,E,5
CLT-00651,C,2
CLT-00652,D,2
CLT-00653,B,2
CLT-00654,E,4
CLT-00655,B,4
CLT-00656,B,5
CLT-00657,C,4
CLT-00658,C,1
CLT-00659,D,4
CLT-00660,A,4
CLT-00661,E,5
CLT-00662,A,3
CLT-00663,A,3
CLT-00664,C,2
CLT-00665,E,1
CLT-00666,A,3
CLT-00667,B,2
CLT-00668,D,5
CLT-00669,D,5
CLT-00670,B,5
CLT-00671,A,2
CLT-00672,C,3
CLT-00673,A,4
CLT-00674,C,4
CLT-00675,C,1
CLT-00676,D,3
CLT-00677,A,3
CLT-00678,B,5
CLT-00679,D,2
CLT-00680,D,5
CLT-00681,C,2
CLT-00682,A,1
CLT-00683,C,2
CLT-00684,B,4
CLT-00685,A,2
CLT-00686,D,5
CLT-00687,A,1
CLT-00688,C,5
CLT-00689,E,1
CLT-00690,D,1
CLT-00691,E,1
CLT-00692,B,2
CLT-00693,D,3
CLT-00694,D,2
CLT-00695,D,1
CLT-00696,B,1
CLT-00697,A,5
CLT-00698,A,2
CLT-00699,E,2
CLT-00700,C,5
CLT-00701,B,3
CLT-00702,E,1
CLT-00703,D,4
CLT-00704,D,2
CLT-00705,D,2
CLT-00706,C,5
CLT-00707,D,2
CLT-00708,E,5
CLT-00709,C,4
CLT-00710,C,1
CLT-00711,E,5
CLT-00712,E,4
CLT-00713,D,5
CLT-00714,C,4
CLT-00715,A,5
CLT-00716,C,2
CLT-00717,D,2
CLT-00718,A,4
CLT-00719,D,1
CLT-00720,B,2
CLT-00721,B,1
CLT-00722,E,4
CLT-00723,D,1
CLT-00724,D,3
CLT-00725,C,2
CLT-00726,D,1
CLT-00727,A,4
CLT-00728,D,3
CLT-00729,E,4
CLT-00730,C,2
CLT-00731,A,4
CLT-00732,B,3
CLT-00733,D,4
CLT-00734,D,1
CLT-00735,C,1
CLT-00736,C,4
CLT-00737,A,2
CLT-00738,E,5
CLT-00739,D,4
CLT-00740,B,2
CLT-00741,B,5
CLT-00742,B,5
CLT-00743,D,1
CLT-00744,C,2
CLT-00745,C,3
CLT-00746,C,4
CLT-00747,D,3
CLT-00748,E,5
CLT-00749,A,3
CLT-00750,E,1
CLT-00751,D,5
CLT-00752,B,5
CLT-00753,D,1
CLT-00754,E,2
CLT-00755,A,2
CLT-00756,E,2
CLT-00757,D,3
CLT-00758,B,5
CLT-00759,B,2
CLT-00760,B,4
CLT-00761,A,5
CLT-00762,E,5
CLT-00763,A,4
CLT-00764,C,3
CLT-00765,C,2
CLT-00766,E,3
CLT-00767,B,2
CLT-00768,B,2
CLT-00769,C,4
CLT-00770,E,2
CLT-00771,D,1
CLT-00772,D,1
CLT-00773,A,5
CLT-00774,E,3
CLT-00775,E,5
CLT-00776,B,2
CLT-00777,B,4
CLT-00778,E,3
CLT-00779,B,5
CLT-00780,D,3
CLT-00781,A,4
CLT-00782,D,2
CLT-00783,D,1
CLT-00784,A,3
CLT-00785,B,3
CLT-00786,E,4
CLT-00787,C,2
CLT-00788,B,3
CLT-00789,E,3
CLT-00790,C,1
CLT-00791,A,4
CLT-00792,C,4
CLT-00793,E,4
CLT-00794,C,2
CLT-00795,C,2
CLT-00796,E,1
CLT-00797,B,5
CLT-00798,B,4
CLT-00799,A,4
CLT-00800,B,1
CLT-00801,B,5
CLT-00802,B,2
CLT-00803,B,4
CLT-00804,E,5
CLT-00805,C,5
CLT-00806,D,2
CLT-00807,C,3
CLT-00808,D,2
CLT-00809,D,4
CLT-00810,A,4
CLT-00811,B,3
CLT-00812,C,5
CLT-00813,B,1
CLT-00814,E,4
CLT-00815,C,3
CLT-00816,C,4
CLT-00817,B,1
CLT-00818,A,4
CLT-00819,B,3
CLT-00820,A,5
CLT-00821,C,1
CLT-00822,E,1
CLT-00823,B,1
CLT-00824,D,4
CLT-00825,E,1
CLT-00826,C,5
CLT-00827,B,5
CLT-00828,E,4
CLT-00829,D,4
CLT-00830,B,3
CLT-00831,A,1
CLT-00832,A,2
CLT-00833,A,5
CLT-00834,D,3
CLT-00835,A,2
CLT-00836,E,3
CLT-00837,C,1
CLT-00838,B,2
CLT-00839,D,2
CLT-00840,C,4
CLT-00841,A,1
CLT-00842,A,5
CLT-00843,A,4
CLT-00844,B,4
CLT-00845,E,5
CLT-00846,C,4
CLT-00847,B,1
CLT-00848,C,2
CLT-00849,B,4
CLT-00850,A,2
CLT-00851,E,1
CLT-00852,B,1
CLT-00853,E,5
CLT-00854,A,2
CLT-00855,E,3
CLT-00856,C,4
CLT-00857,C,2
CLT-00858,C,4
CLT-00859,E,1
CLT-00860,C,5
CLT-00861,C,1
CLT-00862,B,2
CLT-00863,D,1
CLT-00864,E,4
CLT-00865,B,1
CLT-00866,C,5
CLT-00867,C,5
CLT-00868,D,4
CLT-00869,A,5
CLT-00870,A,3
CLT-00871,A,2
CLT-00872,D,4
CLT-00873,A,5
CLT-00874,A,5
CLT-00875,C,2
CLT-00876,B,3
CLT-00877,A,2
CLT-00878,A,1
CLT-00879,C,5
CLT-00880,A,4
CLT-00881,E,5
CLT-00882,C,5
CLT-00883,D,1
CLT-00884,A,3
CLT-00885,C,1
CLT-00886,E,3
CLT-00887,B,3
CLT-00888,E,3
CLT-00889,C,4
CLT-00890,C,4
CLT-00891,B,2
CLT-00892,D,1
CLT-00893,A,1
CLT-00894,E,1
CLT-00895,A,1
CLT-00896,D,3
CLT-00897,D,3
CLT-00898,D,4
CLT-00899,B,2
CLT-00900,E,2
CLT-00901,A,3
CLT-00902,E,3
CLT-00903,A,5
CLT-00904,D,3
CLT-00905,D,5
CLT-00906,A,1
CLT-00907,D,5
CLT-00908,D,5
CLT-00909,B,1
CLT-00910,C,3
CLT-00911,D,1
CLT-00912,B,1
CLT-00913,E,5
CLT-00914,A,4
CLT-00915,A,1
CLT-00916,D,4
CLT-00917,A,3
CLT-00918,B,1
CLT-00919,C,3
CLT-00920,E,4
CLT-00921,B,1
CLT-00922,B,3
CLT-00923,A,5
CLT-00924,E,5
CLT-00925,B,3
CLT-00926,B,2
CLT-00927,C,1
CLT-00928,E,2
CLT-00929,C,2
CLT-00930,B,4
CLT-00931,C,5
CLT-00932,A,4
CLT-00933,C,5
CLT-00934,B,2
CLT-00935,E,5
CLT-00936,D,1
CLT-00937,C,2
CLT-00938,E,1
CLT-00939,D,4
CLT-00940,D,4
CLT-00941,D,3
CLT-00942,B,1
CLT-00943,A,3
CLT-00944,E,2
CLT-00945,D,1
CLT-00946,C,5
CLT-00947,C,3
CLT-00948,A,5
CLT-00949,E,1
CLT-00950,A,4
CLT-00951,C,5
CLT-00952,D,5
CLT-00953,E,4
CLT-00954,B,2
CLT-00955,D,2
CLT-00956,C,3
CLT-00957,D,2
CLT-00958,C,4
CLT-00959,A,1
CLT-00960,E,5
CLT-00961,B,2
CLT-00962,C,3
CLT-00963,B,5
CLT-00964,D,1
CLT-00965,D,4
CLT-00966,A,4
CLT-00967,B,5
CLT-00968,E,1
CLT-00969,C,3
CLT-00970,D,3
CLT-00971,E,4
CLT-00972,A,5
CLT-00973,E,2
CLT-00974,D,5
CLT-00975,C,2
CLT-00976,D,4
CLT-00977,C,3
CLT-00978,E,2
CLT-00979,D,2
CLT-00980,E,2
CLT-00981,E,4
CLT-00982,E,5
CLT-00983,B,1
CLT-00984,D,5
CLT-00985,D,1
CLT-00986,C,1
CLT-00987,D,5
CLT-00988,D,1
CLT-00989,A,5
CLT-00990,A,5
CLT-00991,D,4
CLT-00992,B,1
CLT-00993,A,2
CLT-00994,D,3
CLT-00995,E,3
CLT-00996,E,2
CLT-00997,C,5
CLT-00998,D,4
CLT-00999,E,2
CLT-01000,C,1
CLT-01001,E,2
CLT-01002,C,3
CLT-01003,B,2
CLT-01004,D,3
CLT-01005,E,4
CLT-01006,E,1
CLT-01007,A,5
CLT-01008,C,1
CLT-01009,E,1
CLT-01010,C,1
CLT-01011,B,4
CLT-01012,E,5
CLT-01013,E,3
CLT-01014,E,2
CLT-01015,B,3
CLT-01016,C,2
CLT-01017,B,1
CLT-01018,C,4
CLT-01019,E,2
CLT-01020,A,1
CLT-01021,A,5
CLT-01022,C,4
CLT-01023,A,4
CLT-01024,D,1
CLT-01025,A,1
CLT-01026,E,3
CLT-01027,A,2
CLT-01028,E,4
CLT-01029,B,1
CLT-01030,A,2
CLT-01031,D,3
CLT-01032,E,1
CLT-01033,D,4
CLT-01034,B,5
CLT-01035,D,5
CLT-01036,C,1
CLT-01037,B,2
CLT-01038,E,1
CLT-01039,E,1
CLT-01040,B,4
CLT-01041,A,1
CLT-01042,D,1
CLT-01043,D,3
CLT-01044,C,5
CLT-01045,C,4
CLT-01046,E,3
CLT-01047,D,1
CLT-01048,B,2
CLT-01049,D,2
CLT-01050,C,1
CLT-01051,C,5
CLT-01052,C,4
CLT-01053,D,2
CLT-01054,C,4
CLT-01055,A,1
CLT-01056,E,5
CLT-01057,D,2
CLT-01058,C,1
CLT-01059,B,3
CLT-01060,C,1
CLT-01061,C,4
CLT-01062,B,4
CLT-01063,B,3
CLT-01064,C,4
CLT-01065,A,1
CLT-01066,B,1
CLT-01067,C,3
CLT-01068,E,4
CLT-01069,D,5
CLT-01070,C,1
CLT-01071,B,4
CLT-01072,E,1
CLT-01073,A,1
CLT-01074,B,2
CLT-01075,B,3
CLT-01076,A,3
CLT-01077,E,2
CLT-01078,B,1
CLT-01079,E,1
CLT-01080,B,5
CLT-01081,B,1
CLT-01082,E,5
CLT-01083,B,1
CLT-01084,E,1
CLT-01085,D,2
CLT-01086,E,3
CLT-01087,A,5
CLT-01088,B,3
CLT-01089,E,2
CLT-01090,D,1
CLT-01091,D,5
CLT-01092,A,2
CLT-01093,C,5
CLT-01094,E,5
CLT-01095,A,1
CLT-01096,A,1
CLT-01097,A,2
CLT-01098,D,2
CLT-01099,A,3
CLT-01100,C,5
CLT-01101,A,3
CLT-01102,E,4
CLT-01103,D,3
CLT-01104,A,2
CLT-01105,C,4
CLT-01106,C,5
CLT-01107,E,2
CLT-01108,D,5
CLT-01109,E,3
CLT-01110,D,1
CLT-01111,A,1
CLT-01112,E,5
CLT-01113,B,2
CLT-01114,E,5
CLT-01115,B,4
CLT-01116,A,3
CLT-01117,C,2
CLT-01118,B,4
CLT-01119,A,3
CLT-01120,E,2
CLT-01121,E,2
CLT-01122,D,1
CLT-01123,C,2
CLT-01124,E,5
CLT-01125,B,5
CLT-01126,C,5
CLT-01127,E,4
CLT-01128,D,2
CLT-01129,A,5
CLT-01130,C,4
CLT-01131,B,4
CLT-01132,A,3
CLT-01133,A,4
CLT-01134,E,5
CLT-01135,E,5
CLT-01136,B,5
CLT-01137,A,1
CLT-01138,B,3
CLT-01139,B,2
CLT-01140,E,2
CLT-01141,D,5
CLT-01142,D,5
CLT-01143,A,2
CLT-01144,C,1
CLT-01145,C,1
CLT-01146,D,2
CLT-01147,C,4
CLT-01148,E,5
CLT-01149,E,4
CLT-01150,B,3
CLT-01151,C,5
CLT-01152,E,5
CLT-01153,A,1
CLT-01154,E,1
CLT-01155,E,5
CLT-01156,E,5
CLT-01157,E,3
CLT-01158,A,5
CLT-01159,B,4
CLT-01160,A,3
CLT-01161,B,3
CLT-01162,D,1
CLT-01163,C,5
CLT-01164,E,5
CLT-01165,D,5
CLT-01166,E,3
CLT-01167,A,4
CLT-01168,A,2
CLT-01169,C,3
CLT-01170,E,2
CLT-01171,A,5
CLT-01172,C,3
CLT-01173,E,2
CLT-01174,C,4
CLT-01175,C,1
CLT-01176,E,2
CLT-01177,E,3
CLT-01178,A,1
CLT-01179,A,3
CLT-01180,B,1
CLT-01181,A,1
CLT-01182,C,1
CLT-01183,E,2
CLT-01184,B,3
CLT-01185,C,2
CLT-01186,B,1
CLT-01187,C,1
CLT-01188,E,3
CLT-01189,C,3
CLT-01190,A,1
CLT-01191,C,5
CLT-01192,A,3
CLT-01193,B,5
CLT-01194,B,5
CLT-01195,E,5
CLT-01196,C,1
CLT-01197,C,5
CLT-01198,B,1
CLT-01199,D,1
CLT-01200,B,3
CLT-01201,C,2
CLT-01202,A,2
CLT-01203,D,1
CLT-01204,A,1
CLT-01205,A,2
CLT-01206,A,4
CLT-01207,A,1
CLT-01208,E,3
CLT-01209,A,5
CLT-01210,B,4
CLT-01211,A,2
CLT-01212,C,5
CLT-01213,E,1
CLT-01214,D,3
CLT-01215,D,1
CLT-01216,B,2
CLT-01217,A,5
CLT-01218,D,4
CLT-01219,B,2
CLT-01220,D,5
CLT-01221,B,2
CLT-01222,B,1
CLT-01223,E,3
CLT-01224,A,5
CLT-01225,E,4
CLT-01226,E,5
CLT-01227,B,3
CLT-01228,D,1
CLT-01229,C,3
CLT-01230,C,2
CLT-01231,E,3
CLT-01232,E,5
CLT-01233,B,5
CLT-01234,D,5
CLT-01235,C,2
CLT-01236,B,4
CLT-01237,A,1
CLT-01238,D,5
CLT-01239,E,2
CLT-01240,C,5
CLT-01241,B,2
CLT-01242,D,4
CLT-01243,A,1
CLT-01244,D,4
CLT-01245,C,5
CLT-01246,E,4
CLT-01247,B,4
CLT-01248,A,1
CLT-01249,E,4
CLT-01250,A,5
CLT-01251,C,3
CLT-01252,C,4
CLT-01253,B,2
CLT-01254,A,2
CLT-01255,D,3
CLT-01256,E,2
CLT-01257,D,3
CLT-01258,E,4
CLT-01259,E,5
CLT-01260,A,2
CLT-01261,B,1
CLT-01262,C,1
CLT-01263,D,1
CLT-01264,A,5
CLT-01265,C,1
CLT-01266,D,4
CLT-01267,C,1
CLT-01268,E,4
